"X","Y"
-52.1815798,-32.0759655
-52.1825957,-32.07464
-52.1838263,-32.0730346
-52.1745492,-32.0758108
-52.1755514,-32.0745232
-52.1765614,-32.0732016
-52.1775829,-32.0718878
-52.1745492,-32.0758108
-52.1860779,-32.0787518
-52.1846484,-32.0771177
-52.1856027,-32.0782086
-52.1842059,-32.0766118
-52.1620895,-32.0617655
-52.1626899,-32.0592749
-52.162455,-32.0602281
-52.1628706,-32.0585284
-52.1618816,-32.0625679
-52.1751014,-32.0761011
-52.1760785,-32.0748273
-52.1770902,-32.0735007
-52.178117,-32.0721788
-52.1792841,-32.0706172
-52.1591285,-32.0612792
-52.1595387,-32.0604857
-52.1599598,-32.0597691
-52.160786,-32.057876
-52.1603949,-32.0588357
-52.1588145,-32.0618914
-52.1464816,-32.0549998
-52.1463484,-32.0549422
-52.142329,-32.0532128
-52.1432603,-32.0536176
-52.1474525,-32.0554141
-52.1576717,-32.0675651
-52.1523062,-32.06741
-52.1561971,-32.0675153
-52.1557474,-32.0674844
-52.1499567,-32.0673606
-52.1444108,-32.065888
-52.143376,-32.0645889
-52.1444108,-32.065888
-52.1961599,-32.0801549
-52.1961599,-32.0801549
-52.1466451,-32.0631731
-52.1472718,-32.0628147
-52.1478039,-32.0625548
-52.1832072,-32.0719209
-52.1836535,-32.0712939
-52.1842473,-32.0705797
-52.1767637,-32.077056
-52.1777622,-32.0757673
-52.1787901,-32.0744036
-52.1797986,-32.0730877
-52.1767637,-32.077056
-52.1873972,-32.0820354
-52.1869309,-32.0816284
-52.1879364,-32.0825229
-52.186468,-32.0812118
-52.186008,-32.0808059
-52.185516,-32.0803688
-52.1743927,-32.0672436
-52.1754478,-32.0658366
-52.1758719,-32.0652742
-52.1739749,-32.0678247
-52.1462504,-32.0607147
-52.1724988,-32.0662289
-52.1740859,-32.0641209
-52.1735469,-32.0648198
-52.172101,-32.0667858
-52.1646055,-32.0596291
-52.1643727,-32.0605695
-52.1647346,-32.059107
-52.1639724,-32.0621008
-52.1638282,-32.062993
-52.1605787,-32.0559562
-52.1595177,-32.0555073
-52.1584646,-32.0550347
-52.1615816,-32.0564618
-52.1636591,-32.0572073
-52.1636591,-32.0572073
-52.1700317,-32.0616955
-52.1687033,-32.0637694
-52.1695904,-32.0623751
-52.1704622,-32.0610118
-52.1714389,-32.0594723
-52.1965738,-32.0837845
